fear,self_eff,intent
1.780000,4.570000,2.410000
4.850000,3.700000,2.730000
4.690000,5.210000,2.990000
5.090000,4.730000,2.990000
4.560000,4.570000,2.960000
4.770000,4.080000,4.070000
2.900000,4.480000,3.740000
3.960000,5.570000,4.800000
2.690000,4.270000,3.980000
5.250000,4.280000,3.030000
5.750000,5.130000,4.410000
5.480000,5.050000,3.520000
2.970000,5.260000,2.680000
4.250000,4.920000,3.220000
7.300000,5.300000,5.080000
6.100000,5.880000,4.850000
3.660000,4.370000,3.080000
4.810000,5.290000,4.030000
7.060000,5.920000,5.150000
4.470000,4.080000,2.010000
3.570000,5.380000,2.900000
2.400000,4.410000,2.580000
2.480000,4.400000,3.430000
3.830000,4.210000,4.440000
5.890000,6.060000,6.570000
5.710000,5.600000,4.380000
4.760000,5.090000,3.880000
4.690000,4.440000,3.440000
3.570000,4.010000,2.450000
4.080000,4.440000,2.710000
5.240000,4.780000,3.900000
3.970000,4.760000,3.360000
4.350000,5.960000,4.510000
6.450000,4.080000,2.860000
2.850000,4.890000,3.650000
4.420000,4.950000,4.160000
4.660000,4.370000,2.860000
4.070000,6.130000,3.850000
4.690000,4.640000,3.680000
3.590000,4.950000,2.820000
5.420000,4.610000,3.340000
5.320000,4.370000,2.730000
3.720000,4.360000,2.710000
3.700000,3.400000,3.440000
4.760000,4.470000,4.670000
3.550000,4.990000,2.870000
4.570000,4.960000,3.750000
4.860000,5.110000,3.750000
3.510000,4.780000,3.050000
4.640000,5.610000,3.750000
5.210000,5.920000,3.680000
7.770000,5.700000,5.110000
6.200000,5.030000,3.810000
6.460000,5.340000,4.740000
6.850000,5.440000,4.720000
2.890000,4.700000,4.040000
3.730000,4.400000,3.010000
3.580000,5.140000,4.260000
4.140000,4.770000,3.080000
3.840000,4.080000,3.210000
3.560000,3.690000,4.070000
4.290000,5.510000,5.100000
5.760000,5.370000,4.060000
4.240000,4.860000,3.440000
3.510000,6.270000,5.100000
3.780000,4.130000,1.910000
4.640000,5.040000,3.600000
4.010000,5.450000,4.170000
