     .13    7.00    1.68    1.81   -7.00  -15.00    1.34    1.37
   -1.71    7.00   -1.19    -.98   27.00   28.00    -.89     .20
     .25    9.00     .68     .92    5.00    4.00     .55    1.75
    -.38    7.00    -.79   -1.47   27.00   19.00    -.53   -1.03
    -.44    6.00    -.96    -.30   27.00    9.00     .26     .92
     .46    7.00    -.44     .62   19.00  -12.00     .57    1.23
     .54    8.00    1.18     .86    5.00    7.00    1.22     .52
     .41    8.00    1.84    1.48    1.00  -12.00    2.01    2.92
   -1.25    7.00     .16    -.99   14.00    8.00    -.36    -.80
   -1.13    7.00     .50    -.79    1.00   24.00    1.50    -.61
    1.48    7.00     .86    1.01   -7.00    7.00     .25     .47
    -.49    8.00     .90     .91    6.00   15.00    1.07     .97
     .10    8.00     .68     .54    7.00    1.00     .21     .37
     .25    7.00     .88    -.09    3.00    6.00     .75     .19
    -.39    7.00     .91    2.27   -3.00  -10.00    1.11     .95
    1.09   10.00    -.83     .39    4.00    6.00     .34    -.09
    1.54    9.00    -.20    1.23   15.00    4.00     .33    1.75
    -.04    6.00     .33     .94   25.00   22.00     .68    1.31
    -.36    8.00     .37     .29   14.00    9.00    -.52    -.27
   -1.61    7.00   -1.23    -.05   31.00   19.00   -2.37     .23
     .20    6.00     .20     .20   12.00    5.00    -.47     .25
     .30    8.00   -1.16    -.36   18.00    8.00    -.13     .55
   -1.07    6.00    -.42    -.29   19.00   19.00   -1.39    -.92
   -1.03    8.00    -.83    -.02   19.00    9.00    -.55     .53
    -.83    8.00     .72     .23   19.00     .00    -.13    -.11
    -.16    7.00   -1.70    -.54   33.00   20.00    -.31    -.65
     .47    7.00    -.55   -1.11   19.00   29.00    -.87   -1.47
     .15    6.00    -.40    -.01   26.00   14.00     .02    -.17
    1.05    8.00    2.80     .75   -7.00  -10.00    1.44     .64
     .03    7.00    -.13   -1.19   21.00   19.00     .48    -.31
    -.54    8.00    -.65    -.70   25.00   13.00   -1.40    -.05
    -.13    6.00     .25     .49    5.00   12.00     .25     .58
    -.02    7.00    -.66     .10   30.00    7.00    -.42     .18
     .02    7.00    -.27     .58   19.00   21.00    -.09    -.97
     .39    6.00   -1.23    -.85   23.00   17.00    -.37   -1.07
    -.36    8.00     .83     .23   20.00    6.00    1.11     .62
     .20    6.00    -.72    -.56   23.00   11.00    -.13   -1.22
     .82    6.00    -.09     .05    7.00    7.00     .11     .28
     .91    8.00    1.03    1.87    7.00  -10.00     .99    1.72
     .39    8.00    -.86    -.40   14.00    1.00     .22     .27
    -.30    6.00     .15     .34   17.00    5.00     .74     .28
   -2.57    6.00   -1.00     .12   35.00   12.00   -1.02     .70
     .08    7.00    -.71   -1.61   20.00   34.00    -.48   -1.98
    -.39    7.00    -.80   -2.38   30.00   19.00    -.83   -2.43
     .39    8.00    -.81   -1.04   12.00   28.00   -1.51    -.85
    -.48    8.00   -1.03   -1.04   35.00   29.00    -.85    -.26
     .38    7.00    -.28    -.82   17.00   22.00     .33   -1.15
    1.11    6.00     .35     .83    8.00   -2.00    -.08     .86
    1.65    9.00     .12     .54   14.00   -5.00     .05     .16
     .60    9.00     .87     .81   17.00    7.00    1.09     .33
    1.81    7.00    -.07     .48   10.00    9.00    -.24     .26
    -.18    7.00     .19    -.91   28.00   23.00    -.13    -.82
     .79    6.00     .28    -.01   -4.00    3.00    -.04    -.30
    -.97    7.00    -.03    -.72   23.00   11.00     .26    -.22
     .88    8.00     .63    -.37    6.00   24.00    1.40    -.68
   -1.05    6.00    -.33    1.22   18.00   -4.00     .13     .29
   -1.08    9.00    -.87     .45   28.00    8.00    -.88    1.10
    -.30    5.00     .11     .69   20.00   -4.00    -.11    1.21
   -1.00    6.00    -.26     .26   13.00   -1.00    -.36     .38
     .04    7.00    -.01    1.05   15.00  -10.00     .08     .35
    -.54    7.00    -.29    -.11   22.00   19.00    -.31   -1.27
    -.82    7.00     .17   -1.21   22.00    6.00     .10   -1.02
    -.15    6.00     .31     .54   11.00    6.00    1.03     .66
    1.00    8.00     .25    1.36   17.00   -6.00     .43    1.37
     .25    7.00     .13    -.30   18.00   16.00     .14    -.10
    2.14    9.00     .63    2.59     .00  -14.00     .65    1.51
   -1.93    7.00     .35    -.13   21.00    1.00     .34     .72
     .49    8.00     .45    -.72   11.00   18.00     .65    1.13
    -.79    7.00    -.20     .53   12.00   -2.00    -.32     .86
    -.31    7.00   -1.13   -1.30   19.00   31.00   -1.07    -.92
    -.68    6.00     .65    1.19   -3.00   -1.00     .35     .29
    -.63    8.00    -.51    -.09   11.00    4.00    -.14    -.17
    -.30    7.00     .17     .60    6.00    3.00    -.35    -.09
    1.75    7.00    1.65     .48   16.00  -16.00    1.21     .51
    1.05    9.00    -.04    -.82   22.00   12.00     .15    -.19
     .59    9.00     .01     .76   13.00  -20.00     .51     .25
    1.44    9.00    -.33    1.10   14.00    7.00     .50    1.48
   -2.14    6.00    -.64   -1.91   20.00   34.00   -1.97   -2.48
     .33    7.00    -.21    -.35   20.00   12.00     .31     .03
     .78    6.00     .74     .57   12.00    4.00    -.53    1.09
     .25    6.00    1.18     .70   10.00    7.00     .84    -.03
   -1.59    5.00     .08     .15   21.00   14.00    -.87    -.32
     .97    7.00    -.14   -1.25   10.00   25.00     .46    -.28
     .59    7.00     .57    -.26    6.00    6.00    -.01    -.33
    1.05    7.00    -.23     .72   23.00   -2.00     .11     .78
     .55    8.00     .59    1.45    8.00  -13.00    -.20    1.25
     .02    7.00     .69   -1.46   17.00   14.00     .09    -.20
     .72    8.00     .74    1.68   -4.00   -5.00    1.13    -.24
     .54    8.00    1.01     .74    2.00    1.00     .27     .50
   -1.51    8.00     .71    1.95   17.00   -2.00     .79    1.25
     .17    7.00    -.70    -.59   27.00   19.00     .45     .92
     .65    7.00    -.27   -1.21   24.00   29.00    -.15   -1.30
    -.29    8.00    1.72     .75    6.00   15.00    1.13    -.71
     .91    8.00    1.10     .85   19.00   17.00     .02     .04
     .39    8.00     .46    -.06    8.00   26.00     .37    -.76
    -.97    7.00     .06    -.32   15.00   -1.00     .33     .37
     .43    8.00     .33    -.07   25.00   20.00    -.76     .28
    1.70    7.00    -.96    -.66   23.00   27.00    -.10   -1.35
    1.58    7.00    -.49     .10   32.00    2.00   -1.72     .17
    -.59    5.00    -.14   -1.42   11.00   16.00     .33   -1.17
    -.94    7.00    -.31     .81   16.00   -8.00    -.05    1.76
     .41    7.00     .15    -.48    8.00    8.00     .42     .14
     .87    7.00     .92   -1.09    1.00   11.00     .55    -.30
    -.36    8.00    -.32    -.36   23.00   29.00     .38   -1.50
   -1.36    7.00    -.52   -1.03   20.00   27.00   -1.19   -1.50
    1.07    8.00    1.03     .34   20.00    2.00     .01     .17
    -.03    7.00    -.22     .43   13.00    7.00     .53    -.07
    1.18    8.00    -.61    -.75   21.00   25.00    -.39   -2.00
    1.66    9.00    -.95    -.77   27.00   28.00   -1.25   -1.51
    -.73    7.00   -1.19    -.06   19.00   -4.00    -.81     .07
   -1.02    6.00    -.91    -.50   26.00   13.00     .42    -.51
   -2.35    7.00    -.27   -1.14   29.00   16.00     .90    -.42
     .70    6.00    -.35     .37   13.00   -2.00    -.59    -.03
    -.58    7.00     .97    -.42   20.00   19.00     .99    -.09
    -.01    7.00     .22     .13   29.00    6.00    -.19     .28
     .62    8.00    -.84   -1.03   41.00   32.00    -.40     .03
     .40    6.00   -1.92    -.63    9.00   23.00   -1.05    -.75
    -.48    7.00    -.37   -1.06   12.00   23.00     .15    -.28
     .67    7.00     .34    -.37    7.00     .00     .88    -.45
    -.38    7.00     .05     .13    9.00   11.00     .79     .14
     .46    8.00     .86     .97   15.00    8.00     .87     .07
     .47    7.00     .51    -.02    3.00   -3.00     .73    1.04
    1.24    7.00    1.67     .53   12.00   12.00    -.11     .29
     .11    6.00    -.87    -.40   25.00   27.00    -.77    -.86
    1.61    7.00    -.34    -.05   14.00    2.00    -.29    -.33
     .83    6.00    -.25     .00   18.00    8.00     .60     .12
    -.45    8.00    -.21     .61   17.00    7.00    -.06    -.69
    -.64    7.00    -.63    -.12   15.00   27.00     .20    -.69
    1.15    8.00    1.34     .42   -9.00  -11.00     .67     .78
    -.63    8.00    1.34     .50    9.00    3.00     .56     .98
    -.30    9.00    1.33     .72    8.00   -2.00    1.54     .99
    -.37    9.00   -1.19     .29   30.00   24.00     .49    -.84
    -.51    8.00     .25     .05   17.00   18.00     .06     .46
    -.89    8.00    -.13     .24   19.00   13.00    -.83    -.75
    -.94    8.00   -1.78   -1.67   22.00   26.00   -1.26   -1.58
   -1.90    7.00    -.15   -1.31   27.00   14.00   -1.14    -.42
    -.61    7.00     .60     .76   10.00   -6.00     .59     .74
    1.16    8.00    -.03    1.26   16.00    8.00     .37     .69
    1.54    8.00    -.92    1.05   24.00    8.00    -.07    -.17
    -.13   10.00     .79     .40    4.00    7.00    1.79     .99
    -.33    9.00     .96    1.61   13.00    3.00    -.69     .43
    -.91    7.00   -1.29   -1.95   27.00   28.00    -.51   -2.01
