country sex educ wtsc shy cohort
1 1 2 2.50 3.00 3
1 0 1 3.87 4.33 2
2 0 3 2.75 2.33 2
2 0 2 3.12 2.00 4
2 0 2 2.50 2.66 3
1 0 2 2.62 2.00 3
2 0 3 3.00 3.66 3
1 1 2 3.25 2.00 3
2 1 2 2.62 3.66 3
2 1 2 3.25 3.00 3
1 0 3 2.12 2.00 3
2 0 2 3.62 5.00 3
1 1 2 2.37 2.33 4
1 1 3 1.37 2.33 2
2 0 3 3.50 4.00 1
2 0 3 2.62 2.33 2
2 0 2 2.50 2.00 3
1 0 2 3.00 2.00 1
2 1 2 2.87 1.66 2
1 0 3 2.62 3.33 3
2 0 2 2.62 1.66 2
1 0 2 3.12 2.33 2
1 0 2 2.25 3.66 3
2 1 2 3.50 3.00 2
2 1 3 2.87 3.66 3
2 1 3 3.87 2.66 1
2 0 2 2.75 2.33 2
1 0 2 3.50 4.00 4
2 1 3 3.12 3.00 4
2 1 3 4.25 3.00 2
1 0 3 2.37 3.00 2
2 1 2 3.37 3.66 3
2 1 3 2.75 2.66 2
1 0 2 2.37 1.00 3
1 0 3 3.50 1.66 4
2 1 3 2.75 3.00 3
2 1 2 2.62 2.33 3
2 0 2 3.25 4.66 2
2 1 2 2.37 2.66 3
2 1 3 3.12 2.66 3
1 1 1 3.25 3.33 3
2 1 3 2.62 2.33 4
1 1 3 3.12 3.66 2
1 0 3 3.00 3.66 2
1 0 3 3.00 4.00 2
2 0 3 3.37 2.00 3
2 0 3 3.75 4.00 3
1 0 2 3.00 1.66 4
1 1 3 2.37 2.00 2
2 0 2 2.75 2.33 4
1 1 2 3.12 3.00 3
1 0 2 2.75 2.33 2
1 0 2 2.50 2.66 3
2 0 3 2.87 2.00 3
1 0 2 2.37 2.00 2
1 0 2 2.75 2.33 2
2 0 2 3.25 3.00 4
2 0 2 3.50 4.33 3
1 0 3 3.00 4.00 3
2 0 2 3.25 3.33 2
1 1 3 3.75 3.66 1
1 0 3 3.25 2.00 4
1 0 3 2.37 1.00 3
1 0 3 3.00 2.33 2
2 0 3 2.75 3.66 4
1 0 3 2.00 3.33 3
2 1 2 2.37 3.33 3
2 1 2 4.00 3.33 4
2 0 2 2.62 2.00 2
2 0 2 2.50 2.00 3
1 1 2 3.25 3.33 2
1 0 2 5.00 5.00 2
2 1 2 3.00 2.66 3
2 0 2 2.12 1.66 3
2 0 2 2.75 3.33 1
2 0 2 3.12 2.66 4
1 0 2 3.62 1.33 3
1 1 3 2.50 1.00 1
1 1 2 2.75 3.33 4
2 0 2 3.25 4.33 2
2 1 2 2.87 1.33 3
2 1 3 3.37 3.33 1
2 0 2 3.75 3.66 1
2 1 2 2.50 1.66 3
2 1 2 2.62 3.00 3
2 1 3 3.00 3.33 2
1 1 3 2.87 2.33 3
2 0 3 2.87 3.33 2
1 0 3 2.75 3.33 3
2 0 3 2.25 2.66 3
2 0 1 2.62 2.00 4
2 1 3 3.25 3.33 3
1 0 2 3.12 3.00 1
1 0 2 3.87 4.66 2
1 1 3 2.37 2.00 3
2 1 3 2.75 4.00 2
2 1 2 3.12 3.66 2
2 0 2 2.50 2.66 1
1 1 2 3.25 4.00 1
1 0 3 4.00 4.00 2
2 0 2 2.62 3.33 1
2 1 2 3.00 3.33 2
2 1 3 4.37 3.66 1
2 0 2 3.12 3.66 2
2 0 2 3.12 3.00 3
1 1 3 3.50 3.66 2
1 0 3 3.50 4.33 2
2 1 3 3.37 4.33 3
1 1 3 2.75 1.66 2
2 0 3 2.50 4.00 2
1 0 2 3.00 3.00 4
2 0 2 3.00 2.33 4
1 1 2 3.00 1.33 3
2 1 3 2.50 3.66 3
2 1 2 3.00 2.33 4
2 0 2 3.62 4.33 2
1 1 1 4.00 4.00 1
1 1 2 2.87 1.66 2
2 0 1 2.75 2.00 2
2 0 2 3.12 3.00 4
2 0 3 3.00 3.66 2
2 1 2 3.87 4.00 2
2 1 2 4.00 4.00 2
2 1 1 3.12 4.00 4
2 0 2 3.00 3.00 4
1 0 2 3.25 2.66 3
1 1 2 3.12 2.00 3
1 0 3 3.12 2.33 2
2 0 1 3.12 3.66 3
1 1 1 3.12 4.66 2
2 1 2 2.37 2.00 3
2 1 2 2.75 2.00 2
1 0 2 2.00 3.33 2
1 0 2 3.00 4.00 1
1 1 3 3.25 2.66 3
1 0 3 2.62 2.00 4
1 1 3 2.25 1.66 4
2 0 3 2.87 3.00 3
2 1 2 2.62 4.33 4
1 0 3 3.62 1.66 2
2 0 3 2.75 1.66 3
1 1 2 3.37 3.66 3
1 1 2 2.87 2.00 1
2 0 3 2.50 2.66 1
2 0 1 2.12 2.66 3
2 0 3 3.00 2.00 4
2 1 2 3.75 4.00 2
2 0 3 3.37 3.66 3
1 0 2 2.87 3.00 3
1 0 2 3.37 3.33 3
2 0 3 3.12 4.33 4
1 0 3 2.62 1.66 2
1 0 2 2.87 3.33 3
1 1 3 3.00 3.33 2
2 1 3 1.87 1.00 4
1 1 2 3.50 3.66 2
1 0 3 2.62 4.33 3
1 1 2 2.62 1.00 3
2 0 3 2.50 2.33 4
2 1 2 3.62 4.00 1
1 0 2 3.37 4.33 1
1 0 2 2.12 3.33 2
2 0 2 3.25 3.66 3
1 1 2 1.87 1.66 2
2 1 3 3.50 2.33 2
2 0 2 3.12 4.00 3
1 1 3 3.75 3.33 4
2 1 2 2.75 3.00 2
2 0 3 2.62 2.66 2
1 1 2 3.62 3.00 4
2 0 2 2.50 2.66 3
2 0 3 3.00 3.00 2
1 0 2 3.12 2.33 2
1 0 2 3.37 3.00 3
1 0 2 3.37 3.66 2
2 1 3 2.37 1.66 3
2 1 3 2.50 2.00 3
1 0 3 3.25 2.00 2
2 0 1 3.50 2.00 4
2 1 3 2.50 3.00 4
2 0 2 2.75 4.33 1
1 1 2 2.62 2.66 4
1 0 2 3.00 1.66 3
2 0 2 2.62 2.66 3
1 1 2 3.25 4.00 3
1 0 2 2.87 2.66 2
2 0 3 2.12 2.33 1
1 1 3 2.37 3.33 3
1 0 2 2.50 2.00 4
2 0 2 3.00 1.66 4
1 1 2 2.62 1.00 3
2 0 3 2.87 2.66 3
1 1 3 3.12 1.66 3
1 0 2 2.50 1.66 3
1 1 2 2.50 2.33 3
2 1 3 2.87 3.33 3
2 0 3 3.12 4.00 3
1 0 3 2.00 1.00 4
2 0 3 3.25 2.00 4
2 0 1 2.37 3.33 4
1 0 1 2.50 3.33 4
1 1 3 2.87 4.00 3
2 0 3 3.12 4.00 2
1 0 1 2.50 4.00 2
1 0 3 3.62 4.66 2
2 0 2 3.00 2.33 3
2 1 2 2.37 2.00 2
2 0 2 4.00 4.00 2
2 0 2 4.25 4.66 2
2 1 2 2.50 2.00 3
2 1 2 3.00 2.66 3
1 1 1 3.25 3.33 2
1 1 3 2.50 2.33 4
1 1 2 2.62 2.33 4
2 1 2 3.12 3.66 2
2 0 3 3.50 3.33 3
2 1 3 2.87 3.00 4
1 1 3 2.25 1.00 2
1 1 3 3.50 2.00 2
2 1 2 3.25 4.00 3
1 0 2 3.00 4.66 1
2 0 2 2.62 2.00 4
2 1 2 2.62 4.00 2
1 1 2 2.50 4.00 4
1 0 2 2.87 2.00 1
1 1 3 2.75 2.00 2
2 1 1 3.00 2.33 4
1 1 3 5.00 5.00 2
1 1 2 2.50 2.00 3
1 1 2 3.00 2.33 3
2 0 2 2.50 2.00 3
1 1 3 2.25 1.66 2
1 0 2 2.62 4.00 4
2 1 3 2.87 3.33 3
1 0 3 3.62 4.33 2
1 1 2 3.37 4.00 3
1 1 3 3.37 2.33 4
1 1 2 3.00 3.00 1
1 1 3 2.37 1.66 4
2 1 2 2.62 2.00 4
2 1 3 2.50 3.00 4
2 0 2 3.00 3.00 4
1 1 2 2.62 4.33 3
2 0 2 2.50 2.66 2
1 1 3 2.50 2.33 4
2 1 3 2.87 2.00 1
1 0 3 3.37 1.66 4
1 0 2 2.37 1.33 3
1 1 2 3.25 2.33 4
2 1 3 2.00 1.00 3
1 0 3 2.50 2.00 3
1 1 2 3.00 2.66 4
1 0 3 2.50 2.00 3
1 0 2 3.87 3.66 2
2 0 2 1.87 1.66 4
1 0 2 3.50 2.66 3
1 1 3 2.87 2.66 3
1 0 2 3.00 2.66 3
2 1 2 2.37 2.00 3
1 0 2 3.00 4.66 3
2 1 3 3.50 3.00 2
2 0 2 3.25 2.66 3
2 0 3 2.75 3.66 3
1 1 3 3.50 4.33 3
1 0 2 2.87 2.33 2
1 1 2 2.87 2.33 4
1 0 2 3.12 2.00 4
1 0 3 2.25 1.66 3
1 0 2 3.50 3.66 3
1 0 2 3.25 2.66 1
1 0 2 1.25 1.00 2
2 0 2 2.50 2.66 4
1 0 2 2.62 3.33 4
1 1 3 2.50 2.00 3
1 1 2 2.00 2.66 3
1 1 2 2.87 2.00 3
2 1 2 3.75 4.00 2
1 0 2 3.00 3.33 3
1 1 2 2.37 2.00 3
1 1 3 3.50 4.00 2
2 1 3 2.62 2.00 4
1 1 3 3.50 4.33 3
2 0 3 3.00 2.00 4
1 1 2 3.37 4.66 3
2 0 3 2.87 3.33 3
2 1 3 3.12 3.00 1
2 0 3 2.00 1.33 4
1 0 2 3.50 3.33 3
2 1 2 2.50 2.00 3
2 0 2 4.50 2.00 3
1 1 3 3.00 2.66 4
1 1 2 3.87 3.33 1
2 1 3 2.37 3.33 4
1 1 2 3.37 3.00 3
1 0 3 2.50 2.00 3
1 0 3 2.62 3.33 2
2 1 3 3.00 4.00 2
1 1 3 3.12 3.00 2
1 1 3 1.87 1.33 2
1 1 3 3.37 2.00 1
2 0 2 3.37 4.66 2
2 1 3 2.37 2.66 4
1 1 3 3.00 2.33 3
2 0 2 3.37 4.00 1
2 0 3 2.87 1.33 2
1 1 1 2.50 3.66 2
2 1 2 2.25 2.33 3
2 0 2 3.37 3.66 2
1 1 2 4.00 3.33 1
1 0 2 2.87 3.00 4
1 1 2 2.50 2.00 4
1 0 2 2.37 1.33 4
1 0 2 2.62 2.00 2
2 0 3 2.62 3.00 3
2 1 2 3.12 3.00 1
1 0 2 2.87 2.00 3
2 1 3 2.12 1.33 4
1 1 2 2.62 3.00 3
1 1 3 4.25 5.00 2
2 1 2 2.87 4.33 2
1 0 2 2.75 3.00 2
2 1 2 3.12 4.33 1
2 0 3 2.50 2.00 3
1 0 2 3.12 3.33 1
2 0 3 3.12 2.00 4
1 1 2 2.00 2.33 4
2 1 1 3.12 2.00 3
1 0 3 2.50 2.33 3
1 1 3 3.00 3.00 3
2 0 2 2.62 3.00 3
2 0 2 3.12 4.66 3
1 1 2 2.50 1.00 3
2 0 2 2.75 2.66 4
1 1 2 1.87 1.66 3
2 0 3 3.87 3.00 2
2 1 2 3.00 3.66 1
1 0 2 3.12 2.33 3
1 1 2 3.50 3.33 4
1 0 2 3.50 4.33 2
1 1 1 3.37 3.66 2
1 0 2 3.87 5.00 2
1 1 3 3.87 4.00 2
2 1 3 2.62 2.00 4
1 0 2 3.50 3.33 2
2 0 1 2.62 2.66 3
1 0 3 3.12 2.00 4
1 0 1 3.12 2.00 3
2 1 2 2.75 2.00 4
2 0 3 2.50 2.66 4
2 0 3 2.50 4.00 2
1 1 3 4.00 2.66 2
2 0 2 2.62 3.00 2
2 1 3 4.37 5.00 2
2 1 2 3.00 2.66 2
1 1 3 2.12 1.00 3
1 0 2 3.12 2.66 3
1 0 1 2.25 2.00 2
1 1 2 3.75 2.66 2
2 0 3 3.50 2.66 2
1 1 2 3.37 2.33 2
1 0 3 2.25 2.66 3
2 1 3 4.00 4.00 3
2 0 2 3.12 1.66 2
2 0 2 2.50 2.00 3
1 0 3 2.87 3.66 2
2 1 3 2.50 2.33 3
1 0 3 2.37 1.00 2
1 1 2 2.87 3.33 3
2 0 2 2.75 2.66 4
1 0 3 3.00 3.00 2
1 0 3 2.50 3.66 3
2 0 2 2.75 1.66 1
