stu_id	sch_id	byses	bygrads	par_inv	f1locus2	f1s64a	f1s64b	f1s64c	f1s64d	f1s64e	f1s64f	f1s64g	f1s64h	f1s64i	f1s64j	f1s64k	f1s64l	optimism	Opt_Res	Loc_Res
708925	7089	-.142	2.5	.432286264418643	-.83	4	4	4	4	4	4	4	4	4	4	4	4	4	-.123445225271165	-.83831609431245
708943	7089	.122	1.8	-1.6437719130859	-.39	3	3	3	3	3	3	3	3	3	3	3	3	3	-.683110228959297	-.0832266474699109
709609	7096	-1.101	4	-1.9096299573787	.07	5	4	4	4	4	5	5	4	4	3	4	4	4.18181818181818	.226453785459708	.170068565526778
709625	7096	-1.065	3.5	-1.54988340616226	-.36	4	3	4	3	4	4	4	3	3	3	3	3	3.45454545454545	-.479081637091179	-.229127593709502
709663	7096	-.772	3.3	-1.97069717130962	-.39	4	3	3	4	3	3	4	4	4	4	3	3	3.54545454545455	-.297671497183389	-.203692240697743
710401	7104	-.728	1.9	-1.31684665486217	-1.49	5	4	4	4	3	2	3	3	4	3	3	3	3.45454545454545	-.268614625737568	-1.17408450239253
710405	7104	1.304	3.5	.321549520229971	1.43	5	5	5	5	5	5	5	3	5	5	5	5	4.81818181818182	.500927563066994	1.18481237046078
710442	7104	-.219	3.3	.751418143693152	.97	5	5	5	3	5	5	5	5	4	5	3	3	4.54545454545455	.243192801274289	.814198544416607
710478	7104	-.687	1.5	-.535190438381347	.07	4	3	4	4	4	4	4	4	3	4	4	4	3.81818181818182	.032125107973852	.354733369261367
710669	7106	-.911	3	.753540250470827	-.14	5	4	4	4	3	4	5	3	3	5	4	4	4	-.230264639514208	-.202991402655699
710788	7107	-.394	2.3	-1.48526702683748	-.65	4	2	3	4	4	4	4	4	4	4	4	4	3.72727272727273	-.0449834528400885	-.397709080029992
710941	7109	.15	1	-.40721915909839	-.81	4	2	2	4	2	3	4	4	3	4	1	3	3	-.754212534892764	-.525401445504838
710976	7109	-.381	2.8	-.709116503278615	-.4	5	4	4	4	4	4	4	3	4	4	3	3	3.90909090909091	-.0702806310433774	-.308396392835176
711016	7110	.126	2.8	-.319001924346297	.51	5	5	5	5	5	5	5	3	3	3	4	3	4.36363636363636	.303844874224342	.522278649116773
711993	7119	.424	1.8	-2.00564057108	.07	5	4	4	4	4	4	5	5	5	5	4	5	4.45454545454545	.819636609231276	.395655518879552
714022	7140	-.242	3	1.1032057367108	1.43	5	5	5	5	5	5	4	4	5	5	5	5	4.81818181818182	.50850193856031	1.28071114995503
715760	7157	-1.582	2.3	.252523348100261	.56	5	5	5	5	5	5	4	4	4	3	4	5	4.45454545454545	.441848765018971	.703036737780193
715822	7158	-.565	3	.944700850462379	.28	4	3	3	4	4	4	4	3	4	5	4	4	3.81818181818182	-.454824122935171	.171228247034897
716967	7169	-.627	4	-.538574024525636	.07	5	5	4	3	4	3	3	4	3	4	4	4	3.81818181818182	-.375117676112055	-.0160871431135061
718205	7182	.533	3.8	-.111347888233602	-.65	5	5	4	5	5	5	4	3	5	5	2	1	4.36363636363636	.0940555602425525	-.836436679909869
719229	7192	-.167	4	1.3328589018666	.98	5	5	4	5	4	4	4	4	4	5	5	4	4.45454545454545	-.0571342606040493	.653062239783059
719363	7193	1.312	2.8	.39167159247672	.07	5	4	4	3	5	5	4	3	3	5	3	3	4	-.215261199281887	-.0808127890961571
721955	7219	-.145	2	-.0935929727458447	-.2	3	3	3	3	3	3	3	3	3	3	3	3	3	-.957146852044815	-.0761895143368511
721977	7219	-.4	2.8	-.347413424534083	-.16	4	4	3	2	3	3	3	3	3	3	3	3	3.09090909090909	-.946309597606984	-.107304273196706
721982	7219	-.387	2.8	-1.05894756876816	-.19	5	2	4	5	4	4	4	4	4	4	3	3	3.90909090909091	-.013499022721762	-.0590390539660849
721991	7219	-.74	3	-1.52359401275215	.54	4	4	4	4	4	4	3	3	3	4	4	3	3.72727272727273	-.140566212841786	.718317279506299
723978	7239	-.19	3.5	.363260092288934	.05	4	3	3	3	3	3	3	3	3	3	3	3	3.09090909090909	-1.18202799464843	-.0940134935801236
723989	7239	.458	3	.293138020042184	1.2	5	5	4	4	4	5	5	4	3	5	4	4	4.36363636363636	.161039916565985	1.09128368687726
725368	7253	-1.086	3	-.418396124191893	.06	5	4	4	4	5	5	4	5	3	5	3	3	4.27272727272727	.23797565866377	.139827096237175
726914	7269	.58	3.3	.388288006332431	.07	5	5	4	4	4	4	4	4	3	4	3	4	4	-.27084311035253	-.101980095287928
726955	7269	1.085	3.5	1.3328589018666	.95	5	5	5	5	5	5	5	5	5	5	4	4	4.90909090909091	.435767445823973	.607775878074192
731460	7314	.401	2	-1.64818170589082	-.54	4	1	3	2	3	1	3	4	3	3	3	3	2.72727272727273	-.997119297669466	-.28185251166081
732003	7320	-.917	3	.152222470031949	-.37	5	4	3	2	3	3	3	3	3	4	3	3	3.27272727272727	-.86008399208804	-.365646340580365
732058	7320	-.633	1.8	-1.18124757587958	-.76	3	2	3	3	2	3	3	3	3	5	2	4	2.90909090909091	-.823016369547386	-.451225899634301
733008	7330	-1.004	2.3	-.0880872798238811	.94	5	4	5	5	5	5	4	4	3	4	3	4	4.27272727272727	.295360712480802	1.08000476798856
733090	7330	-1.454	2.3	-2.25929544361867	-1.12	5	5	5	5	5	5	5	5	5	5	5	5	5	1.38915311716736	-.70649118037417
734055	7340	-.062	2.8	-.0914708659681702	-1.75	5	5	5	5	5	5	4	5	5	5	5	5	4.90909090909091	.818927465563127	-1.74972752874685
734086	7340	.148	3.5	.426614992247104	.07	4	4	4	4	4	4	4	4	4	4	4	3	4	-.294735542206636	-.105003847264501
734175	7341	-.207	2.3	.489969892205275	.72	5	4	4	4	4	4	4	4	4	4	3	4	4	-.0980933765116511	.739223920455369
734866	7348	-.061	3	.682391971563443	-1.01	5	5	5	5	5	5	3	4	3	5	5	5	4.54545454545455	.297644575371715	-1.1252766275727
735622	7356	.563	3.3	.897839386625351	.07	5	5	5	5	5	5	5	5	5	5	5	5	5	.647330571998307	-.157483530680056
737345	7373	-.671	3.5	.883633636531458	.04	5	5	5	5	5	5	5	5	5	5	4	4	4.90909090909091	.568436157327446	-.127857425317157
737374	7373	-.812	2.5	-2.35547163656955	-.37	4	2	4	3	3	3	3	5	5	4	5	1	3.72727272727273	.0775781668729231	-.0206147765137895
738929	7389	.137	1.8	-.535190438381347	-1.1	4	3	4	3	4	3	2	2	2	3	3	5	3	-.862908588115431	-.917662061684839
738988	7389	-.915	2.3	-1.13560154059751	-.59	4	2	3	2	3	4	4	4	4	4	4	4	3.45454545454545	-.356453434652741	-.339721976196488
739842	7398	1.008	4	.747868978299288	.74	5	5	5	4	4	4	4	3	4	3	3	3	4	-.457231891772964	.394943084777207
739892	7398	1.004	2.8	.363260092288934	.07	5	5	3	5	4	4	4	4	3	5	3	3	4.09090909090909	-.109230241731286	-.0558360745748172
741555	7415	-.96	2.8	-.842759054733111	.1	5	5	5	4	4	3	3	4	4	4	3	3	4	.0620312505829419	.247485600685885
741586	7415	-.488	2.5	.451642906290601	-1.26	5	5	5	5	5	5	5	5	5	5	5	5	5	.885250110598647	-1.24596401255634
742725	7427	-.286	2.5	.00808891312699994	.52	5	5	5	5	5	5	5	5	5	5	5	5	5	.950079939964751	.569091574362747
743154	7431	.979	3	.489969892205275	-.14	5	5	3	4	4	5	5	3	4	5	3	3	4.18181818181818	-.0704180096544606	-.307522600995488
743179	7431	1.012	3.3	.912045136719244	-.16	5	5	5	4	4	4	3	4	4	5	3	3	4.18181818181818	-.188494865766003	-.420865957361498
743431	7434	.2	3.8	-.535190438381347	.67	1	1	1	1	1	1	1	1	1	1	1	1	1	-3.18965326355508	.554317873175255
743527	7435	1.002	3.8	.0251578689717091	-1.29	5	4	4	4	3	3	3	3	3	3	3	4	3.45454545454545	-.853141546672152	-1.52484630800623
743578	7435	1.006	4	1.13602702970351	.28	5	5	5	4	5	4	4	5	4	5	3	3	4.45454545454545	-.0653930603624026	-.108113009967206
743909	7439	-.546	1.5	-.967181168622203	.78	5	5	5	5	5	5	3	3	3	5	3	3	4.27272727272727	.551715214077652	1.10282255996894
743970	7439	-.142	1.6	-1.8734250782417	-.14	3	1	2	3	3	2	2	2	2	3	3	3	2.36363636363636	-1.24085084438685	.240385455866197
743988	7439	-.135	1.8	.196961827091303	.07	5	5	5	5	5	5	5	5	5	5	5	5	5	1.02798043992988	.19012243217692
744038	7440	-.309	3	.233166706228302	-.9	5	4	4	4	4	4	4	4	4	4	4	4	4.09090909090909	-.0757734926963658	-.94771758074888
744102	7441	.108	3.8	.0996897340233823	-.11	5	4	3	4	5	4	4	4	4	5	3	3	4.09090909090909	-.198275932960585	-.289821235677694
745034	7450	-.291	2.5	-.565724045346808	-.61	4	1	3	3	4	4	3	3	3	4	2	3	3.09090909090909	-.866039998822443	-.496695177036569
746579	7465	-.603	2.5	-1.21087450462232	-1.26	5	3	3	3	5	3	5	5	5	5	5	5	4.27272727272727	.430779062004435	-1.052798846482
747284	7472	-.261	2.3	-1.61536041289811	-.16	4	3	4	4	4	4	3	4	3	3	3	3	3.54545454545455	-.210307995224878	.0973488541411649
747464	7474	.685	3.8	1.07479423652301	.3	5	5	5	5	5	4	4	4	4	4	4	4	4.45454545454545	-.0120596958627744	-.0292070944109491
748135	7481	1.009	3.3	.548914999358522	-.4	5	4	3	3	5	5	5	5	4	4	3	4	4.18181818181818	-.129664996745351	-.620241059183121
749414	7494	-.289	2.5	-.778883774381467	-.35	4	2	4	4	4	4	4	4	4	4	4	4	3.81818181818182	-.104362305960688	-.213114483245335
750410	7504	.07	3.3	-.221564252028801	-.37	5	3	3	3	3	3	3	3	3	4	3	3	3.27272727272727	-.882056208718948	-.437988252681689
751225	7512	-1.058	2	.493353478349564	-.84	4	4	3	4	4	4	4	4	4	4	4	4	3.90909090909091	-.111774978891426	-.716844866204365
753835	7538	.513	2.8	.753540250470827	-.35	5	5	4	4	3	4	4	5	5	4	4	4	4.27272727272727	.0262514527564803	-.484493760523167
754787	7547	-1.191	2.5	-.877702454503495	.09	5	4	4	4	5	5	4	5	4	4	4	5	4.36363636363636	.487902815893482	.301769229272617
755682	7556	-1.167	2.3	-.412724852020354	.29	5	5	5	5	5	5	4	5	5	5	4	2	4.81818181818182	.89888848060723	.477678240933782
755772	7557	.365	3.5	-.70928208252819	.74	5	4	4	4	3	4	5	4	4	5	3	4	4.09090909090909	-.0275399029322261	.676039548621283
755790	7557	-.164	3.3	.0996897340233823	-1.3	5	5	5	5	4	5	3	5	5	4	3	5	4.45454545454545	.255804865144403	-1.38716670993823
757870	7578	.894	3.5	1.49348589489269	.28	5	5	4	5	5	4	5	4	3	5	4	4	4.45454545454545	-.0382273464840888	-.0665721263603952
757886	7578	1.002	3.3	.0996897340233823	.52	5	5	4	5	5	4	5	4	4	5	4	4	4.54545454545455	.306861711371511	.350248595334241
757890	7578	1.301	4	1.16656063666897	-.35	5	3	3	3	4	4	4	3	4	4	2	3	3.54545454545455	-.989504712699112	-.762405136181593
758405	7584	-.263	3.5	.229783120084013	1.2	5	4	4	5	5	4	4	4	3	4	4	5	4.18181818181818	-.0670372617109053	1.07601143167169
758418	7584	-.263	3	-.800882903424572	-.14	5	4	4	4	4	4	4	3	4	4	4	4	4	-.00102280771142107	-.075897217245547
759127	7591	-.812	2.5	-2.61124861588589	.27	5	5	5	4	5	5	4	5	8	4	4	5	4.6	.991671050302679	.647850406233843
759180	7591	-.284	3	.562379650479274	-.34	5	5	5	5	5	5	5	5	5	5	5	5	5	.779220886723591	-.426126067757859
759378	7593	-1.417	1.9	-.183237266114128	-.16	5	2	4	4	4	4	5	4	3	4	4	5	3.90909090909091	.0261465551882034	.0785572072506378
761643	7616	-.801	3	-.22723552420034	-.16	4	3	3	3	4	5	5	4	3	4	3	4	3.72727272727273	-.348135293946215	-.121632785480137
763193	7631	1.011	3	.552298585502812	-.14	5	5	5	5	5	5	5	5	4	5	4	4	4.81818181818182	.554771784482309	-.316725578778172
766263	7662	-.381	2.8	-1.61536041289811	-.63	4	3	3	3	3	3	4	4	3	4	3	3	3.36363636363636	-.469172601292698	-.437541348842558
766290	7662	.225	3.3	.623446864410196	.74	5	5	5	5	5	5	5	5	5	5	5	5	5	.703259153059683	.566993004208852
766951	7669	-.142	2.5	-1.79586442818963	-.39	5	4	4	3	4	5	4	4	3	4	5	4	4.09090909090909	.327812222175945	-.150347270754185
766994	7669	-.126	2.8	-.986537810494162	.07	4	3	3	4	3	3	3	3	3	3	3	3	3.18181818181818	-.761402854384313	.174416591823217
771889	7718	1.055	3.3	.623446864410196	.07	5	5	5	5	5	5	5	5	5	5	5	4	5	.67489091713683	-.161793699585185
772509	7725	1.541	2	.296521606186473	-.14	4	4	4	4	4	4	4	3	4	4	4	3	3.90909090909091	-.16877245868109	-.179019922714022
772684	7726	-.985	2.5	-.351823217339007	.95	5	3	5	5	5	5	5	5	5	5	5	5	4.81818181818182	.850359497869941	1.08865418190134
773714	7737	-.958	1.8	.0725397132022107	.52	5	4	5	5	5	5	5	5	5	5	5	5	4.90909090909091	.985322539424274	.712260166123357
773760	7737	-.797	2.3	.0386225200924607	.3	5	4	4	5	4	4	4	4	4	4	4	4	4.18181818181818	.176884470499777	.411242089631135
774045	7740	-.032	2.8	-.404190374097999	1.18	5	5	5	4	5	4	4	3	4	4	4	5	4.27272727272727	.232113129975075	1.21294991458865
777208	7772	.048	3	.0691561270579216	1.43	5	5	5	5	5	5	5	5	3	5	5	5	4.81818181818182	.665822136664977	1.37524963909
778650	7786	.387	3.3	.883633636531458	-.14	5	5	4	4	4	4	5	4	4	4	4	4	4.27272727272727	-.0716292928087222	-.353436971632074
779390	7793	.051	3	.585119878495522	.07	5	5	5	5	4	4	3	4	4	4	3	3	4.18181818181818	-.0540884319947319	-.0423839702175377
779547	7795	.331	3.3	-.681611681313545	.3	5	3	5	5	5	5	4	3	2	5	5	4	4.27272727272727	.183424489427818	.264724059558447
780300	7803	.263	3	.845306650616784	-.62	5	5	5	5	5	5	5	5	5	5	5	3	5	.714768737716538	-.7763553137569
780362	7803	-.054	1.5	-.542818238080985	-.58	5	1	4	5	5	5	5	5	8	4	4	5	4.3	.493541845830265	-.339251455048455
780393	7803	-.313	3	-.380069138277219	.25	4	3	3	3	5	4	4	3	4	4	3	3	3.63636363636364	-.431006477158623	.270812176912283
782257	7822	-.632	4	-.481751024150063	.07	5	5	4	4	4	4	4	2	3	5	3	3	3.90909090909091	-.293227409440091	-.0220567853416114
782290	7822	-.047	3.3	-.221564252028801	-.87	4	4	4	4	4	4	4	3	4	4	4	4	3.90909090909091	-.241693676448114	-.929701452267349
782296	7822	.938	4	.845306650616784	.07	5	5	5	5	5	5	5	5	5	5	5	5	5	.529402472507128	-.280942748605724
783415	7834	-.71	2.5	.229783120084013	.07	5	5	4	4	4	4	3	3	4	4	4	3	4	-.0712818985490871	.124450229815641
783417	7834	-.682	3.8	.839635378445245	-.63	5	3	3	4	4	4	3	2	4	5	5	5	3.81818181818182	-.563670050748078	-.836215490373595
784991	7849	.306	2.3	-.987799289860776	.07	5	2	4	3	4	4	3	3	3	4	4	3	3.54545454545455	-.331179775778682	.217349049237155
786243	7862	-.064	3	.0363348340652112	-.85	4	4	3	3	3	4	3	3	2	3	3	3	3.18181818181818	-.961405463068029	-.893165046016173
786449	7864	.646	2.8	.493353478349564	-.14	5	4	4	4	4	4	3	4	4	3	3	4	3.81818181818182	-.390760969455033	-.254957854103013
788227	7882	-1.042	2	-.193152751841015	-.62	5	2	5	3	4	4	4	4	4	4	4	4	3.90909090909091	-.00129640508224203	-.421577462371528
789375	7893	.358	4	.260316727049474	.73	5	5	5	4	4	4	5	8	3	5	4	4	4.4	.0438337344916277	.485240102603527
790263	7902	1.136	3.3	.679008385419154	.74	5	5	5	5	5	4	4	5	5	5	3	3	4.63636363636364	.299500383017384	.496285894613855
790265	7902	-.282	1.8	-1.34356636197781	-1.11	3	1	3	4	3	3	3	3	3	3	3	3	2.90909090909091	-.808762001629076	-.808021993753162
790282	7902	1.304	2.5	.883633636531458	.07	5	5	4	4	4	4	4	4	4	4	4	4	4.18181818181818	-.0640435881040156	-.0909624784854391
791406	7914	.323	2.3	.653980471375656	.07	4	4	3	3	3	4	4	3	4	5	4	5	3.72727272727273	-.415459967307744	.0334328376462406
791426	7914	.107	2.8	.233166706228302	.07	5	3	3	3	3	3	3	3	3	3	3	3	3.18181818181818	-.966623555966467	.0221740341841207
791648	7916	.276	3.3	.585119878495522	.74	5	5	5	5	5	4	5	5	4	5	5	5	4.81818181818182	.52589630636239	.567646183863519
793389	7933	-.502	2	-.699201017551728	-.42	5	5	5	5	5	5	5	5	5	5	5	3	5	1.15299705470088	-.203506591477107
794166	7941	-.451	3.3	.213455263212446	-.14	5	5	5	5	5	5	5	5	3	5	4	4	4.72727272727273	.519942630130796	-.21950011955408
794184	7941	-.668	2.5	-.579023117217984	-.39	5	3	3	4	3	4	4	3	2	4	4	4	3.54545454545455	-.396458416528935	-.248513223219169
794197	7941	-.142	4	-.607732563883323	.95	3	3	3	4	4	5	5	5	5	4	3	4	4	-.198691428017014	.837258179899438
796312	7963	.54	2.5	-.487256717072027	-.37	5	3	4	4	4	4	4	3	3	4	3	3	3.72727272727273	-.27076892979492	-.324285264355306
797901	7979	-.265	3.3	-1.4719679549663	-.14	2	1	4	4	4	4	4	4	4	4	4	4	3.54545454545455	-.395657182125622	-.0451048209830885
798464	7984	-.22	3.5	-.357328910260971	-.14	5	5	3	3	4	3	3	3	3	4	4	4	3.63636363636364	-.519010613050082	-.201694991346935
798482	7984	-.505	3	-.33516420196829	.53	5	5	5	5	5	5	4	5	5	5	5	5	4.90909090909091	.841020821642836	.559413600170095
798495	7984	.708	3.8	.975400036677415	.07	5	5	5	4	4	4	4	3	4	5	4	4	4.27272727272727	-.178589427862011	-.249774635257928
816063	8160	.137	3.3	.518381392393062	1.02	5	5	5	5	4	5	5	5	4	5	4	4	4.72727272727273	.450531342711003	.864918450271217
853631	8536	.812	4	1.04213852277988	-.14	5	5	5	5	5	5	5	5	5	5	4	5	4.90909090909091	.410967189776599	-.503923738460708
874591	8745	.064	2.3	-.596257652312268	.07	5	5	5	5	5	4	4	3	3	3	3	5	4.09090909090909	.159223798429771	.190914963282139
894590	8945	-.637	2.8	-.479628917372389	.3	5	5	4	4	4	4	4	4	4	5	4	4	4.27272727272727	.26499150309039	.384195949237517
1419282	14192	.533	3.3	-.0937585519954197	.97	5	5	5	5	5	5	5	5	5	5	5	5	5	.808722411738785	.854995304637517
1419293	14192	.29	3.8	.778568164514324	.07	5	5	4	5	5	4	4	4	4	4	3	3	4.27272727272727	-.132470079001981	-.19826356484396
1425416	14254	-.503	4	.883633636531458	.3	5	5	5	5	5	4	5	5	4	5	3	3	4.63636363636364	.20881902427128	.0468540937561285
1425457	14254	-.219	2.5	-.604051031261481	.98	5	5	4	5	5	5	4	5	5	5	4	5	4.72727272727273	.774061222114637	1.09247062818476
1425458	14254	-.593	3	-.386647088671474	.28	5	5	5	4	5	5	4	4	3	5	4	3	4.45454545454545	.39780916937453	.321375890020635
1437908	14379	-.393	2.3	-.875414768476246	-.37	5	5	5	5	5	5	4	5	5	5	4	4	4.81818181818182	.947262915288877	-.185649799466154
1460555	14605	-.214	3.5	.0272799757493834	-.19	5	5	5	5	4	4	4	5	4	5	5	5	4.63636363636364	.418583324900724	-.294922721598922
1460559	14605	-.283	1	-.16049703809788	-1.04	5	2	2	2	2	2	2	2	2	2	2	5	2.27272727272727	-1.50658714040358	-.752190677202104
1473846	14738	-.925	3.5	-.762555917509899	-.14	5	5	4	4	4	4	3	3	4	5	4	3	4.09090909090909	.0251662151983721	-.106664369085296
1477000	14770	.685	3.3	.199249513118552	.07	5	4	3	4	3	4	4	2	3	4	3	3	3.54545454545455	-.698405009138294	-.0883790489130573
1477017	14770	.03	3	-.997880354837239	-.19	4	1	4	4	4	5	3	4	4	5	5	4	3.90909090909091	-.0700867542260427	-.124725968342259
1477805	14778	-.589	2.8	.374082256238538	.07	5	5	5	4	4	4	4	3	4	4	4	4	4.18181818181818	.034375137195609	.0557875117109605
1481345	14813	-.407	3.8	.393793699254394	.07	5	4	3	3	3	4	4	4	4	4	3	3	3.72727272727273	-.591874373181521	-.106075705838508
1481347	14813	-.204	3.3	.312849463058041	-.85	4	4	4	3	3	3	3	4	4	3	3	3	3.45454545454545	-.777301313739723	-.958055964278655
1495463	14954	1.058	3	-.163880624242169	.3	5	2	4	3	3	4	4	1	4	4	2	3	3.27272727272727	-.876464851934344	.199648455449063
1495491	14954	1.799	3.8	.357588820117395	-.19	5	5	5	5	5	5	4	4	5	4	3	3	4.54545454545455	.156764704142505	-.518291641281071
2400070	24000	-.518	3	.883633636531458	-.14	5	2	4	3	5	4	3	4	4	5	3	4	3.81818181818182	-.446554403049421	-.245304525014402
2405321	24053	.231	3.5	.883633636531458	-1.89	5	5	5	5	5	5	5	5	5	5	5	5	5	.62851615329387	-2.12174369859694
2405325	24053	-.759	2.3	-.611844410210694	.07	3	2	3	3	3	3	3	3	3	4	3	3	3	-.901035533520564	.250940511425308
2411003	24110	.415	2.5	.975400036677415	.32	5	5	5	5	5	5	5	5	5	5	4	5	4.90909090909091	.67877296303662	.211790441650827
2411097	24110	.685	3.5	.975400036677415	.07	5	5	4	4	3	4	4	4	4	4	3	4	4	-.401841879277247	-.204111914840666
2413809	24138	.608	4	1.49348589489269	.3	5	5	5	5	5	5	5	5	5	5	5	5	5	.435854421905389	-.0997049885853107
2417432	24174	-.372	3.3	.28231585609258	.99	5	4	4	4	4	4	4	4	4	3	3	3	3.90909090909091	-.312075797830639	.897241087981705
2421670	24216	.238	3.8	-.449095310406928	-.16	4	3	4	4	5	4	4	4	3	4	3	5	3.81818181818182	-.386693993148021	-.287955013198665
2424048	24240	-.139	3.3	-.592487768338736	.07	4	4	3	3	3	3	3	3	3	4	3	4	3.27272727272727	-.814925162004636	.0580943983277011
2426967	24269	-.066	2	.534709249264629	-.14	5	3	4	4	3	3	5	3	3	5	4	4	3.81818181818182	-.243277513297589	-.0917080467213409
2426971	24269	-1.482	3.3	-2.00902415722429	.07	5	3	3	3	3	3	3	3	3	3	3	3	3.18181818181818	-.630842613003333	.310860555327119
2431582	24315	-.57	2.5	.269537164614877	-.14	5	3	4	5	4	4	4	4	4	4	4	4	4.09090909090909	.00841295362318851	-.0998897904765861
2432760	24327	-.862	2.5	-.369360390000144	-.62	4	2	3	3	3	3	3	3	3	3	3	4	3	-.96919008315788	-.488105886960331
2437176	24371	1.326	4	.650596885231367	.95	5	5	5	5	5	5	5	5	5	5	5	5	5	.547630673412487	.593245307214816
2437606	24376	-.749	2.3	-1.41852854073502	-1.02	5	4	3	2	4	3	4	2	4	5	3	2	3.54545454545455	-.225461534752252	-.749992633577144
2437696	24376	-.228	3	-.481751024150063	.07	5	4	4	4	5	4	4	4	5	5	4	3	4.36363636363636	.309805603615065	.0961079345749644
2442068	24420	-.385	2.3	-.378807658910604	-.87	5	3	4	2	3	4	4	5	4	5	4	5	3.90909090909091	-.0424153602212987	-.741483362826467
2445900	24459	-.477	3	.654146050625231	.07	5	5	5	5	5	5	5	3	4	3	8	4	4.5	.2709764067333	-.0126689859838208
2445916	24459	-1.178	3	.168715906153092	.74	4	3	4	4	3	4	5	5	5	4	3	4	4	-.126558056901498	.761004059600263
2454382	24543	-.956	3.5	-.517955903287063	-.4	5	3	3	2	3	4	5	3	4	2	3	5	3.36363636363636	-.740604988134646	-.391690029783346
2457129	24571	-.291	2.5	-.729900203766764	-2.16	5	5	5	5	5	5	5	5	5	5	5	5	5	1.06960235001876	-2.02842416466978
2458951	24589	-1.067	2.3	-1.51367852702526	.24	5	3	5	5	5	5	5	5	5	5	5	5	4.81818181818182	1.07352269279707	.54311961868993
2468005	24680	-.956	3.5	-.290590424158511	-.79	5	3	3	4	4	3	3	4	3	2	3	3	3.36363636363636	-.777375740224823	-.806993323032005
2468038	24680	-.733	2.8	-.91035816824663	.58	5	5	4	5	4	3	2	5	4	5	4	4	4.18181818181818	.24702337820771	.718930833967218
2477259	24772	-.627	3.3	.969728764505876	-.14	5	5	4	4	4	4	5	3	4	5	4	4	4.27272727272727	-.0508959560162018	-.291199481630903
