stu_id,sch_id,sstratid,sex,race,ethnic,bys42a,bys42b,bys44a,bys44b,bys44c,bys44d,bys44e,bys44f,bys44g,bys44h,bys44i,bys44j,bys44k,bys44l,bys44m,bys48a,bys48b,bys79a,byfamsiz,famcomp,bygrads,byses,byfaminc,parocc,bytxrstd,bytxmstd,bytxsstd,bytxhstd,bypared,bytests,par_inv,f1s36a1,f1s36a2,f1s36b1,f1s36b2,f1s36c1,f1s36c2,f1s36d1,f1s36d2,f1s36e1,f1s36e2,f1s36f1,f1s36f2,f1s39a,f1s39b,f1s39c,f1s39d,f1s45a,f1s45b,f1s62a,f1s62b,f1s62c,f1s62d,f1s62e,f1s62f,f1s62g,f1s62h,f1s62i,f1s62j,f1s62k,f1s62l,f1s62m,f1s64a,f1s64b,f1s64c,f1s64d,f1s64e,f1s64f,f1s64g,f1s64h,f1s64i,f1s64j,f1s64k,f1s77,f1s78a,f1s80aa,f1s82,f1s83,ffugrad,f1cncpt1,f1cncpt2,f1locus1,f1locus2,f1txrstd,f1txmstd,f1txsstd,f1txhstd
664196,6641,6,1,4,1,2,4,1,4,3,1,1,3,3,1,3,4,2,4,4,6,6,4,5,1,2.8,1.27,11,81.87,56.94,59.514,66.966,62.519,6,61.48475,0.939195158,1,2,1,2,1,1,1,1,1,1,1,2,6,7,7,8,2,3,1,2,3,1,1,4,3,1,3,4,1,4,4,5,5,5,4,4,4,4,4,4,4,3,0,0,0,1,1,7,1.22,1.14,0.48,0.54,64.88,60.97,62.44,66.46
665696,6656,6,1,4,1,3,3,1,3,3,1,1,3,4,1,2,2,3,4,3,5,5,3,5,1,2.8,-0.291,11,56.33,52.608,50.089,56.243,60.77,2,54.9275,-0.451217417,6,4,3,2,3,1,3,0, , ,4,2,4,3, ,7,3,3,2,3,3,2,2,3,3,2,2,3,2,3, ,5,4,4,4,4,4,4,3,4,4,4,0,3,0,2,2,4.666666667,-0.33,-0.28,0.03,0.05,60.93,60.72,62.8,60.13
673838,6738,6,2,4,1,2,2,2,3,3,2,2,3,3,2,2,2,2,3,4,6,6,0,4,1,4,-0.406,11,66.18,56.805,52.593,51.238,48.757,2,52.34825,0.493519058,1,1,0,1,0,1,1,2,1,1,0,1,4,8,5,8,2,4,2,3,4,2,2,3,3,2,2,2,2,3,3,5,4,4,4,4,5,4,5,5,5,4,1,1,0,1,1,6.25,-0.33,-0.45,0.5,0.3,42.89,50.95,43.93,41.7
700005,7000,7,1,1,1,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,7,10,1,3,-0.867,2,7.32,37.987,34.994,31.223,36.524,4,35.182,-0.462394382, ,3, ,2, ,2, ,1, ,2, ,4, , ,5,4, , ,2,2,1,1,2,2,2,2,3,2,2,2,3,5,5,5,4,5,5,5,4,4,4,5,0,0,0,1,1,4.5,0.06,-0.23,-1.83,-1.07,33.6,31.52,37.28,32.83
700013,7000,7,2,3,0,5,3,1,3,3,2,1,3,2,1,3,3,2,1,2,2,2,1,5,1,2.3,-0.58,8,56.33,35.957,32.712,42.517,37.398, ,37.146,-0.951594411,1,1,1,1, , ,1,1,1,1,2,2,5,8, , ,5,6,2,3,3,2,2,3,3,2,3,3,2,3,3,5,3,5,2,4,4,5,4,4,3,4,0,1,0,1,2,6.5,-0.33,-0.1,0.03,0.07,34.84,36.6,38.55,37.41
700015,7000,7,2,2,0,2,3,2,3,4,2,2,3,3,2,3,3,2,3,4,5,3,5,6,1,4,-0.241,8,66.18,67.499,67.761,55.672,64.266,3,63.7995,0.071278234,4,4,2,2,5,5,4,1,3,4,2,2,8,8,8,8,0,2,2,3,4,2,2,3,3,2,4,4,2,1,4,5,3,4,3,3,4,3,4,3,3,3,0,2,0,1,1,8,-0.33,-0.12,0.5,0.51,63.24,63.35,62.72,65.6
701189,7011,7,2,4,1,4,3,1,4,4,1,1,3,3,2,2,3,2,4,4,6,6,4,4,1,3.5,0.373,12,56.33,56.805,52.519,44.52,57.276,3,52.78,1.172231909,2,3,3,5,2,1,3,2,3,1,2,2,5,7,6,6,3,5,1,4,4,1,1,3,3,1,3,3,1,3,3,5,5,5,5,5,5,5,5,5,5,5,3,2,1,2,2,6,1.22,0.79,0.5,0.77,48.69,50.33,47.88,52.16
701600,7016,7,1,4,1,3,3,2,3,4,2,1,3,3,2,3,3,2,1,2, , ,1,5,2,2,-0.588,10,66.18,42.049,41.032,46.949,48.32,1,44.5875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.47,0.33,0.03,0.12, , , , 
701670,7016,7,1,3,0,5,4,2,3,2,1,1,3,3,2,3,4,2,4,2,6,6,6,6,1,4,0.967,10,81.87,67.499,68.866,64.535,64.485,6,66.34625,0.973112351,2,1,1,1,0,1,0,1, , ,1,1,8,6,8,5,1,1,2,3,2,2,1,2,3,2,3,3,2,4,2,5,4,4,3,3,3,2,1,4,4,4,0,1,0,2,2,6.75,0.07,0.32,-0.9,-0.6,67.81,61.37,63.79,60.5
701693,7016,7,1,4,1,0,3,2,3,4,1,1,2,3,2,2,2,2,3,1,6,6,2,5,1,2.3,-0.011,12,61.32,63.303,63.122,57.816,47.883,3,58.031,0.975400037,6,4,5,1,4,3,2,2, , ,4,2,5,3,3,5,1,5,1,4,4,1,1,4,3,1,3,3,2,4,4,5,5,5,5,5,5,5,5,5,5,5,0,1,0,6,3,4,1.22,0.97,0.96,0.95,45.12,54.15,46.19,45.61
702828,7028,7,2,4,1,2,0,2,2,3,1,1,3,3,1,3,3,2,4,4,3,2,2,3,5,1.6,-0.428,7,56.33,48.412,49.059,50.953,46.9,2,48.831,-0.812966547,3,3, , ,2,2,1,1, , ,1,1, ,4, ,6,1,2,1,4,3,1,2,3,3,2,2,3,2,3,3,5,5,5,5,5,5,4,3,4,4,4,0, ,0,2,2,5,0.45,0.17,0.03,0.28,34.35,38.45,39.44,36.4
702949,7029,7,1,4,1,2,3,2,3,3,2,2,3,3,2,2,3,2,4,3,5,5,3,4,1,3.3,0.005,11,66.09,52.879,46.775,42.088,45.262,3,46.751,0.883633637,2,2,1,1,0,0,1,1,1,1,1,1,6,6,8, ,1,3, , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,5,4,4,0,2,0,2,2,6.666666667, , , , , , , , 
704214,7042,7,1,4,1, , ,2,2,2,2,2,2,2,3,3,3, ,1,4, , ,1,5,2,2.1,-0.196,12,66.09,37.853,45.229,28.934,30.518,2,35.6335, ,1,0,1,0, , ,1,0,1,0,1,0,5,2,1,2,5,5,2,3,3,2,2,3,2,2,2,2,2,2,2,5,5,5,4,4,4,4,4,4,4,4,0,1,0,5,2,2.5,-0.33,-0.64,-0.43,-0.36,32.39,30.94,32.83,28.94
708902,7089,7,1,4,1,3,3,2,4,4,1,1,3,3,2,2,3,2,4,3,5,5,1,6,1,4,-0.163,12,61.32,40.018,39.706,55.956,47.009,2,45.67225,0.554420692,2,2,1,1,1,1,1,1, , ,1,1,8,8, ,8,2,2,2,3,3,2,2,3,3,2,3,3,2,2,3,5,5,5,5,5,5,5,5,5,3,3,0,2,0,2,2,8,-0.33,-0.29,0.03,0.07,38.78,53.42,51.67,51.44
708923,7089,7,1, , ,3,6,2,4,4,1,1,3,3,2,4,4,2,2,3,3,3,1,4,1,2.8,-0.168,11,27.41,31.626,38.308,40.086,45.371,3,38.84775,-0.668667411,1,0, , ,0, , ,0,0,0, ,0,6,5, ,4,4,5,1,1,4,1,1,4,3,2,3,4,1,4,3,5,4,5,5,4,3,5,3,4,5,4,0,0,0,5,2,5,0.86,0.94,0.96,0.37,36.27,40.26,42.26,40.35
708925,7089,7,1,4,1,5,6,1,3,4,1,1,3,4,1,2,2,1,4,3,5,5,1,4,5,2.5,-0.142,7,56.33,45.298,45.745,47.522,55.528,3,48.52325,0.432286264,4,1,4,0,1,0,1,0, , ,1,0,6,6,3,5,1,1,2,1,4,2,2,2,2,3,2,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,0,1,0,1,2,5,-0.69,-0.85,-0.41,-0.83,51.9,54.89,42.61,28.94
708943,7089,7,1,4,1,3,4, , , , , , , , , , , , , ,3, ,1,5,1,1.8,0.122,10,20.26,41.914,39.56,37.799,30.518,3,37.44775,-1.643771913,1, ,1, ,1, ,1, , , ,1,1,3,3,3,4,2,2,2,3,3,2,2,2,4, ,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3, , , ,6,3,3.25,-0.4,-0.09,0.03,-0.39,42.75,33.69,42.85,46.37
709019,7090,7,1, , , , ,1, ,1, , , , ,1, , , , ,1, , ,1,6,5,1.8,-1.665,5,20.26,33.657,38.897,43.662,38.709,1,38.73125, ,1,1,2,1,1,1,2,1, , ,3,2, , ,2,2,4,2,1,1,1,2,1,4,1,3,2,3,1,3,1,4,4,3, ,1,3, ,3,3,3,2,2,2, ,1,2,2,0.11,-0.03,-1.37,-1.21,36.88,31.48,32.83,28.94
709416,7094,7,1,4,1,3,4,2,3,4,2,2,3,3,2,2,3,2,3,3, , ,2,3,2,3,1.799,14,81.87,59.105,55.98,53.956,41.877,6,52.7295, ,2,5,3,1,2,2,2,2,2,2,2,2,8,6,8,8,2,4,1,4,4,1,1,2,3,1,3,3,2,4,4,5,5,5,5,5,5,5,5,5,4,2,0,3,0,2,3,7.5,1.22,0.97,0.05,0.49,56.74,60.87,63.55,56.07
709609,7096,7,2,4,1,2,3,2,3,4,1,1,4,4,2,2,3,1,4,4,3, ,1,5,1,4,-1.101,7,20.26,65.334,66.657,62.248,53.89,2,62.03225,-1.909629957,2,2,1,1,1,2,1,2,1,1,1,1,7,8,7,7,3,3,2,3,3,1,2,3,3,2,3,3,2,3,3,5,4,4,4,4,5,5,4,4,3,4,0,1,0,6,2,7.25,0.06,0.12,0.03,0.07,64.92,62.8,51.42,57.98
709625,7096,7,1,4,1,5,2,2,3,3,2,2,2,3,2,2,3,2,4,3,3,3,1,5,1,3.5,-1.065,9,15.57,45.84,59.514,55.672,58.149,2,54.79375,-1.549883406,2,2,1,1,1,1,1,1,2,2,1,1,5,7,7,7,3,5,2,3,3,2,2,3,2,3,3,3,2,3,2,4,3,4,3,4,4,4,3,3,3,3,0,1,0,4,2,6.5,-0.69,-0.31,-0.43,-0.36,40.15,52.73,54.56,45.31
709663,7096,7,2,4,1,4,5,2,3,3,2,2,3,3,2,3,3,2,3,3,3,3,1,6,1,3.3,-0.772,7,25,46.246,58.483,66.966,44.498,2,54.04825,-1.970697171,2,0,1,0,1,0,1,1,1,0,2,0,2,2,2,2,3,1,2,3,3,2,2,2,2,2,2,2,2,3,3,4,3,3,4,3,3,4,4,4,4,3,0,3,0,5,2,2,-0.33,-0.45,-0.88,-0.39,42.75,52.88,57.34,42.9
710401,7104,7,1,4,1,3,5,3,3,3,2,2,3,3,3,2,3,3,3,2,3,3,5,6,1,1.9,-0.728,7,49.7,44.216,43.978,53.527,54,2,48.93025,-1.316846655,1, ,1, , , ,1, , , ,1, ,5,5,5,5,3,4,2,2,3,2,2,1,2,2,2,3,3,3,1,5,4,4,4,3,2,3,3,4,3,3,4,1,0,6,2,5,-0.33,-0.28,-1.34,-1.49,42.78,40.61,43.31,54.15
710405,7104,7,2,4,1,4,5,2,2,3,2,2,3,3,2,1,1,3,3,3,6,6,5,4,1,3.5,1.304,12,70.6,52.608,54.875,48.951,44.279,5,50.17825,0.32154952,4,5,3,5,0,0,1,2, , ,1,1,8,8,8,8,3,5,2,4,4,1,1,4,4,2,2,2,1,4,4,5,5,5,5,5,5,5,3,5,5,5,0,2,0,2,2,8,0.47,0.19,1.41,1.43,52.69,55.35,52.73,55.09
710442,7104,7,2,4,1,2,4,1,3,3,2,2,4,3,1,2,3,2,4,3, ,6,2,4,1,3.3,-0.219,11,56.33,58.971,49.5,66.966,61.645,2,59.2705,0.751418144,2,3,1,1,1,0,1,1, , ,1,1,6,8, ,8,2,4,2,3,4,2,2,4,4,2,2,3,2,3,4,5,5,5,3,5,5,5,5,4,5,3,0,0,0,2,2,7.333333333,-0.33,-0.28,1.41,0.97,54.39,51.3,50.3,49.94
710478,7104,7,1,4,1,2,1,2,3,3,2,2,3,3,2,2,3,2,3,4,3,3,1,4,1,1.5,-0.687,8,61.32,50.577,37.351,50.953,45.262,2,46.03575,-0.535190438,1,2,1,2, , , ,1, ,1,1,2,3,5,5, ,1,1,2,3,3,2,2,3,3,2,3,3,2,2,3,4,3,4,4,4,4,4,4,3,4,4,0,2,0,4,2,4.333333333,-0.33,-0.29,0.03,0.07,32.39,35.62,45.73,44.63
710669,7106,7,1,4,1,3,1,1,4,4,1,1,4,4,1,3,4,1,4,3,5,5,1,3,1,3,-0.911,11,27.41,52.744,61.871,60.39,64.375,1,59.845,0.75354025,3,2,2,1,2,1,2,1, , ,2,1,5,6, ,5,3,4,1,3,3,2,2,3,3,2,3,3,2,3,2,5,4,4,4,3,4,5,3,3,5,4,0,2,0,6,2,5.333333333,0.06,0.13,0.03,-0.14,55.96,58.35,50.09,58.94
710788,7107,7,2,4,1,4,6,2,3,2,2,2,3,2,2,3,3,3,3,2,4,4,3,4,1,2.3,-0.394,11,56.33,44.216,41.99,42.231,35.651,2,41.022,-1.485267027,0,2, , , , ,1,0, , ,2,2,3,5, ,5,4,5,2,3,2,3,3,3,2,3,2,2,3,3,3,4,2,3,4,4,4,4,4,4,4,4,3,3,3,6,3,4.333333333,-1.49,-1.11,-0.9,-0.65,35.34,41.07,39.53,35.09
710941,7109,7,2,4,1,2,1,2,3,3,2,2,3,2,2,2,2,3,3,3,4,4,1,5,1,1,0.15,9,56.33,42.049,39.56,49.094,36.634,3,41.83425,-0.407219159,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2, ,2,3,4,1,3,3,2,2,2,2,2,1,3,1,4,2,2,4,2,3,4,4,3,4,1,2,3,2,3,3,1.75,-1.52,-1.13,-1.83,-0.81,43.6,35.14,41.91,39.83
710976,7109,7,1,4,1,4,2,2,3,3,2,2,2,3,2,3,3,2,3,2,5,5,1,5,1,2.8,-0.381,9,27.41,52.744,48.911,53.24,59.132,3,53.50675,-0.709116503,1,2,1,1,1,1,1,0,1,1,0,0,5,4,6,5,4,3,2,3,2,2,3,3,2,2,3,3,2,2,3,5,4,4,4,4,4,4,3,4,4,3,2,2,1,3,2,5,-0.74,-0.52,-0.9,-0.4,55.24,58.42,58.05,59.42
711016,7110,7,2,4,1,5,5,2,4,3,2,2,3,3,3,2,2,2,3,2,4,4,2,5,1,2.8,0.126,13,56.33,33.926,42.357,38.228,46.026,2,40.13425,-0.319001924,6,2,4,0,2,1,3,0,2,1,1,0,6,5,4,2,4,6,2,3,4,2,2,3,3,1,2,2,2,3,4,5,5,5,5,5,5,5,3,3,3,4,0, ,0,6,3,4.25,0.03,-0.25,0.5,0.51,39.48,43.68,38.36,34.34
711993,7119,7,1,4,1,4,4,1,4,3,1,1,4,4,1,4,4,1,4,4,4,4,1,5,2,1.8,0.424,11,66.09,46.11,36.467,40.515,35.76,3,39.713,-2.005640571,2,2,1,1,2,2,2,2, , ,1,1,8,7, ,3,2,4,2,3,3,2,1,3,3,2,3,3,2,3,3,5,4,4,4,4,4,5,5,5,5,4,0,0,0,3,2,6,0.07,0.13,0.03,0.07,44.79,45.11,57.93,48.96
714022,7140,7,2,4,1,3,4,2,4,3,2,1,3,3,2,3,3,2,4,3,6,6,5,3,1,3,-0.242,10,70.6,54.775,45.597,53.527,62.519,2,54.1045,1.103205737,2,4,1,2,1,2,1,1, , ,1,2,6,7,8,6,3,2,1,4,4,1,1,4,4,1,4,4,1,4,4,5,5,5,5,5,5,4,4,5,5,5,0,1,0,1,1,6.75,1.22,1.33,1.41,1.43,52.55,52.02,42.34,60.05
715760,7157,7,2,2,0,1,4,1,3,4,2,1,3,3,1,2,3,2,3,1,6,6,2,5,1,2.3,-1.582,3,20.26,40.018,38.897,47.093,33.903,1,39.97775,0.252523348, ,1, ,1, ,1, ,1, , , ,1,3,3, ,2, , ,2,4,4,1,1,4,4,2,3,3,2,4,1,5,5,5,5,5,5,4,4,4,3,4,0,1,0,2,2,2.666666667,0.47,0.54,1.41,0.56,44.77,41.33,38.29,38.87
715822,7158,7,2,4,1,2,5,2,4,4,2,2,3,4,2,2,3,2,3,4,5,5,4,6,2,3,-0.565,9,27.41,59.105,44.272,55.672,64.266,3,55.82875,0.94470085,2,1,1,1,1,1,1,1,1,1,3,5,4,8,7,5,3,6,2,4,3,1,2,3,3,1,3,4,2,3,3,4,3,3,4,4,4,4,3,4,5,4,0,1,0,6,2,6,0.42,0.5,0.03,0.28,63.25,43.85,49.87,56.48
716967,7169,7,2,4,1,5,3,1,3,4,1,1,4,4,2,2,3,2,1,3,2,4,1,5,1,4,-0.627,10,25,52.608,65.479,71.542,55.966,2,61.39875,-0.538574025,2,3,1,1,1,1,1,2,2,2,1,2,8,7,8,8,3,6,1,3,3,2,2,3,3,2,2,3,2,3,3,5,5,4,3,4,3,3,4,3,4,4,0,3,0,3,3,7.75,0.06,-0.06,0.03,0.07,64.18,67.39,63.33,62.93
718205,7182,7,1,4,1,4,5,2,3,3,2,1,3,2,3,2,3,3,3,3,4,5,3,3,1,3.8,0.533,12,66.18,50.577,51.341,51.238,52.251,3,51.35175,-0.111347888,1,0,1,0,0,0,1,1, , ,1,1,5,6,5,6,2,5,2,3,2,2,2,1,4,2,2,2,3,3,3,5,5,4,5,5,5,4,3,5,5,2,0,2,0,3,2,5.5,-0.33,-0.45,-0.91,-0.65,45.05,47.63,46.69,55.5
719229,7192,7,1,4,1,3,3,2,3,4,1,1,4,4,2,4,4,1,3,4,6,6, ,5,1,4,-0.167,12,56.33,67.499,64.522,75.973,66.013,3,68.50175,1.332858902,2,5,1,3,2,2,2,1,1,0,2,2,6,6,8,8,3,5,1,3,3,1,1,4,4,2,4,4,1,4,4,5,5,4,5,4,4,4,4,4,5,5,0,2,0,3,2,7,0.86,1.12,0.94,0.98, , , , 
719363,7193,7,1,4,1,2,4,1,2,3,1,1,3,4,1,3,4,2,3,3,6,6,4,5,1,2.8,1.312,12,66.09,64.25,62.165,57.959,60.77,6,61.286,0.391671592,3,2,2,1,2,0,2,3,2,3, , ,7,5,6,4,3,5,1,4,3,1,1,3,3,1,3,4,2,3,2,5,4,4,3,5,5,4,3,3,5,3,0,1,0,5,3,5.5,1.22,0.96,0.03,0.07,61.9,62.05,58.7,61.66
721955,7219,7,2,4,1,6,6,2,2,3,2,2,3,2,2,3,3,2,3,2,6,6,1,5,1,2,-0.145,9,56.33,37.853,48.101,44.375,44.934,3,43.81575,-0.093592973,3,2, , ,1,1,1,1,1,1,1,1,3,6,6,3,6,6,2,2,3,2,2,3,3,2,2,2,2,3, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4.5,-0.33,-0.45,0.03,-0.2,41.59,40.41,42.74,49.7
721977,7219,7,2,4,1,3,5,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,6,1,2.8,-0.4,10,27.41,35.822,45.524,37.657,27.569,3,36.643,-0.347413425,4,2, , ,1,2,1,2,1,2,1,1, ,6,7,6,4,5,3,3,3,2,2,3,2,3,2,2,2,2,3,4,4,3,2,3,3,3,3,3,3,3,0,2,0,3,3,6.333333333,-1.08,-1.07,-0.43,-0.16,32.39,36.1,35.43,35.24
721982,7219,7,2,4,1,2,2,2,3,3,2,1,3,3,2,2,3,3,3,2,3,3,1,5,1,2.8,-0.387,10,66.18,48.277,50.531,55.814,51.379,2,51.50025,-1.058947569,0,1,0,1, , ,1,1,0,1,0,1,4,6,4, ,3,4,2,3,3,2,2,3,3,2,2,2,3,4,3,5,2,4,5,4,4,4,4,4,4,3,1,3,0,4,2,4.666666667,-0.33,-0.27,0.03,-0.19,41.47,51.76,43.86,51.95
721991,7219,7,2,4,1,4,5,2,4,4,1,1,3,3,2,2,2,2,2,2,5,5,2,4,1,3,-0.74,6,56.33,44.216,43.094,44.52,59.023,2,47.71325,-1.523594013,2,5,1,1, , ,2,3,1,1,1,1,4,6,5, ,2,4,2,4,4,2,1,3,4,2,2,2,2,4,2,4,4,4,4,4,4,3,3,3,4,4,0,2,0,1,2,5,0.07,-0.03,0.96,0.54,45.37,48.97,50.27,59
